Date,Return,,D1,D2,D3,D4,D5
20/03/2013 0:00,-0.00517258,3,0,0,1,0,0
21/03/2013 0:00,0.001769401,4,0,0,0,1,0
22/03/2013 0:00,-0.002001483,5,0,0,0,0,1
25/03/2013 0:00,0.007653832,1,1,0,0,0,0
26/03/2013 0:00,3.05E-05,2,0,1,0,0,0
27/03/2013 0:00,0.004794816,3,0,0,1,0,0
28/03/2013 0:00,-0.003456667,4,0,0,0,1,0
29/03/2013 0:00,0.006554141,5,0,0,0,0,1
1/04/2013 0:00,-0.002449086,1,1,0,0,0,0
2/04/2013 0:00,0.001763164,2,0,1,0,0,0
3/04/2013 0:00,0.003679468,3,0,0,1,0,0
8/04/2013 0:00,-0.02415643,1,1,0,0,0,0
9/04/2013 0:00,-0.003132808,2,0,1,0,0,0
10/04/2013 0:00,0.003134068,3,0,0,1,0,0
11/04/2013 0:00,0.01347553,4,0,0,0,1,0
12/04/2013 0:00,-0.004636616,5,0,0,0,0,1
15/04/2013 0:00,-0.007455858,1,1,0,0,0,0
16/04/2013 0:00,0.004821215,2,0,1,0,0,0
17/04/2013 0:00,0.001027541,3,0,0,1,0,0
18/04/2013 0:00,-0.0022717,4,0,0,0,1,0
19/04/2013 0:00,0.017739732,5,0,0,0,0,1
22/04/2013 0:00,0.004978267,1,1,0,0,0,0
23/04/2013 0:00,-0.003470072,2,0,1,0,0,0
24/04/2013 0:00,0.01013882,3,0,0,1,0,0
25/04/2013 0:00,-0.000244301,4,0,0,0,1,0
26/04/2013 0:00,3.87E-05,5,0,0,0,0,1
29/04/2013 0:00,0.000956924,1,1,0,0,0,0
30/04/2013 0:00,0.00792888,2,0,1,0,0,0
2/05/2013 0:00,0.004296548,4,0,0,0,1,0
3/05/2013 0:00,0.000801796,5,0,0,0,0,1
6/05/2013 0:00,0.004173197,1,1,0,0,0,0
7/05/2013 0:00,-0.000733493,2,0,1,0,0,0
8/05/2013 0:00,0.012663448,3,0,0,1,0,0
9/05/2013 0:00,0.002271472,4,0,0,0,1,0
10/05/2013 0:00,-0.000679685,5,0,0,0,0,1
13/05/2013 0:00,-0.003864759,1,1,0,0,0,0
14/05/2013 0:00,0.000424239,2,0,1,0,0,0
15/05/2013 0:00,0.008058931,3,0,0,1,0,0
16/05/2013 0:00,0.008553706,4,0,0,0,1,0
17/05/2013 0:00,-0.002608793,5,0,0,0,0,1
20/05/2013 0:00,0.001058137,1,1,0,0,0,0
21/05/2013 0:00,0.000715986,2,0,1,0,0,0
22/05/2013 0:00,0.001881796,3,0,0,1,0,0
23/05/2013 0:00,-0.019356613,4,0,0,0,1,0
24/05/2013 0:00,-0.003410809,5,0,0,0,0,1
27/05/2013 0:00,0.008528839,1,1,0,0,0,0
28/05/2013 0:00,-0.002061253,2,0,1,0,0,0
29/05/2013 0:00,0.009017688,3,0,0,1,0,0
30/05/2013 0:00,-0.011411892,4,0,0,0,1,0
31/05/2013 0:00,0.001395285,5,0,0,0,0,1
3/06/2013 0:00,-0.006536346,1,1,0,0,0,0
4/06/2013 0:00,-0.001195604,2,0,1,0,0,0
5/06/2013 0:00,-0.001137236,3,0,0,1,0,0
6/06/2013 0:00,-0.010538217,4,0,0,0,1,0
7/06/2013 0:00,-0.000116104,5,0,0,0,0,1
10/06/2013 0:00,0.008040227,1,1,0,0,0,0
11/06/2013 0:00,-0.005455653,2,0,1,0,0,0
13/06/2013 0:00,-0.02047516,4,0,0,0,1,0
14/06/2013 0:00,-0.001752102,5,0,0,0,0,1
17/06/2013 0:00,0.006923784,1,1,0,0,0,0
18/06/2013 0:00,0.002265683,2,0,1,0,0,0
19/06/2013 0:00,-0.000453214,3,0,0,1,0,0
20/06/2013 0:00,-0.013640087,4,0,0,0,1,0
21/06/2013 0:00,-0.013459114,5,0,0,0,0,1
24/06/2013 0:00,-0.004537273,1,1,0,0,0,0
25/06/2013 0:00,-0.012294845,2,0,1,0,0,0
26/06/2013 0:00,0.015739526,3,0,0,1,0,0
27/06/2013 0:00,0.012649604,4,0,0,0,1,0
28/06/2013 0:00,0.022365015,5,0,0,0,0,1
1/07/2013 0:00,-0.003256261,1,1,0,0,0,0
2/07/2013 0:00,-0.002509385,2,0,1,0,0,0
3/07/2013 0:00,-0.013114787,3,0,0,1,0,0
4/07/2013 0:00,-0.002239742,4,0,0,0,1,0
5/07/2013 0:00,0.01360146,5,0,0,0,0,1
8/07/2013 0:00,-0.014536865,1,1,0,0,0,0
9/07/2013 0:00,0.01070043,2,0,1,0,0,0
10/07/2013 0:00,0.005069159,3,0,0,1,0,0
11/07/2013 0:00,0.020734201,4,0,0,0,1,0
12/07/2013 0:00,0.004993927,5,0,0,0,0,1
15/07/2013 0:00,0.004150428,1,1,0,0,0,0
16/07/2013 0:00,0.000657673,2,0,1,0,0,0
17/07/2013 0:00,-0.000140463,3,0,0,1,0,0
18/07/2013 0:00,-0.00778793,4,0,0,0,1,0
19/07/2013 0:00,-0.016344195,5,0,0,0,0,1
22/07/2013 0:00,0.00537134,1,1,0,0,0,0
23/07/2013 0:00,0.013382494,2,0,1,0,0,0
24/07/2013 0:00,-0.002249729,3,0,0,1,0,0
25/07/2013 0:00,-0.003986657,4,0,0,0,1,0
26/07/2013 0:00,-0.001738515,5,0,0,0,0,1
29/07/2013 0:00,-0.007995645,1,1,0,0,0,0
30/07/2013 0:00,0.009730451,2,0,1,0,0,0
31/07/2013 0:00,-0.006835278,3,0,0,1,0,0
1/08/2013 0:00,-0.006399331,4,0,0,0,1,0
2/08/2013 0:00,0.005404742,5,0,0,0,0,1
5/08/2013 0:00,0.004772614,1,1,0,0,0,0
6/08/2013 0:00,-0.012328326,2,0,1,0,0,0
7/08/2013 0:00,-0.014739445,3,0,0,1,0,0
8/08/2013 0:00,-0.001720912,4,0,0,0,1,0
9/08/2013 0:00,-0.006537756,5,0,0,0,0,1
12/08/2013 0:00,0.005995092,1,1,0,0,0,0
13/08/2013 0:00,0.010433318,2,0,1,0,0,0
14/08/2013 0:00,-0.0043846,3,0,0,1,0,0
15/08/2013 0:00,-0.00809045,4,0,0,0,1,0
16/08/2013 0:00,0.00477355,5,0,0,0,0,1
19/08/2013 0:00,-0.003132983,1,1,0,0,0,0
20/08/2013 0:00,-0.008588454,2,0,1,0,0,0
22/08/2013 0:00,-0.002335271,4,0,0,0,1,0
23/08/2013 0:00,0.007512955,5,0,0,0,0,1
26/08/2013 0:00,0.002747309,1,1,0,0,0,0
27/08/2013 0:00,-0.009433929,2,0,1,0,0,0
28/08/2013 0:00,0.000473008,3,0,0,1,0,0
29/08/2013 0:00,0.011830774,4,0,0,0,1,0
30/08/2013 0:00,0.013078345,5,0,0,0,0,1
2/09/2013 0:00,0.002113193,1,1,0,0,0,0
3/09/2013 0:00,0.006139977,2,0,1,0,0,0
4/09/2013 0:00,-0.000609725,3,0,0,1,0,0
5/09/2013 0:00,0.010541238,4,0,0,0,1,0
6/09/2013 0:00,-0.000599989,5,0,0,0,0,1
9/09/2013 0:00,0.003412773,1,1,0,0,0,0
10/09/2013 0:00,0.002031499,2,0,1,0,0,0
11/09/2013 0:00,2.69E-05,3,0,0,1,0,0
12/09/2013 0:00,0.001992184,4,0,0,0,1,0
13/09/2013 0:00,-0.006973517,5,0,0,0,0,1
16/09/2013 0:00,0.010611654,1,1,0,0,0,0
17/09/2013 0:00,-0.000673678,2,0,1,0,0,0
18/09/2013 0:00,-0.004933564,3,0,0,1,0,0
23/09/2013 0:00,0.010138293,1,1,0,0,0,0
24/09/2013 0:00,0.000758204,2,0,1,0,0,0
25/09/2013 0:00,-0.00183558,3,0,0,1,0,0
26/09/2013 0:00,-0.012049783,4,0,0,0,1,0
27/09/2013 0:00,0.005604462,5,0,0,0,0,1
30/09/2013 0:00,-0.006926103,1,1,0,0,0,0
1/10/2013 0:00,0.00160748,2,0,1,0,0,0
2/10/2013 0:00,0.003596729,3,0,0,1,0,0
3/10/2013 0:00,0.017194434,4,0,0,0,1,0
4/10/2013 0:00,0.000661375,5,0,0,0,0,1
7/10/2013 0:00,-0.00369976,1,1,0,0,0,0
8/10/2013 0:00,0.005025979,2,0,1,0,0,0
9/10/2013 0:00,-0.003698475,3,0,0,1,0,0
11/10/2013 0:00,0.000555843,5,0,0,0,0,1
14/10/2013 0:00,-0.009072872,1,1,0,0,0,0
